ISO,country,unicef_region,income_group,stunting_national,wasting_national,overweight_national,female_married_by_15,female_married_by_18,marriage_gap_18,literacy_f,completion_primary_f,oos_upsec_f,wat_bas_nat,san_bas_nat,hyg_bas_nat,diarrhoea_care_pct,pneumonia_care_pct
NPL,Nepal,SA,Lower Middle Income,24.8,7.0,1.3,6.0,35.0,28.0,80.20683,76.4,17.97327,55.44,38.97,41.61,56.9,57.5
NRU,Nauru,EAP,High Income,15.7,1.3,8.2,1.0,18.0,18.0,,,60.10101,99.5,99.5,90.02,28.1,44.4
OMN,Oman,MENA,High Income,11.4,9.3,4.2,1.0,4.0,,98.95638,,11.69857,99.5,99.5,99.5,56.6,56.3
PAK,Pakistan,SA,Lower Middle Income,37.6,7.1,2.5,4.0,18.0,13.0,65.54779,55.41709819894092,67.40446,35.49,41.59,,70.8,71.1
PAN,Panama,LAC,High Income,15.9,1.1,11.5,7.0,26.0,,97.33687,95.5,30.84499,59.69,23.91,23.81,,81.6
PER,Peru,LAC,Upper Middle Income,11.5,0.6,7.5,3.0,19.0,,98.85308,95.1,,73.67,92.89,,33.3,59.3
PHL,Philippines,EAP,Lower Middle Income,26.7,5.4,3.9,2.0,9.0,6.0,98.81543,95.1556262902658,16.70764,46.27,84.79,73.04,42.0,70.1
PNG,Papua New Guinea,EAP,Lower Middle Income,49.5,14.1,13.7,8.0,27.0,23.0,71.4,,50.08276,46.83,46.38,11.67,38.4,62.6
POL,Poland,WE,High Income,1.0,0.8,7.7,,,,,,6.92797,99.5,99.5,99.5,,
PRK,Democratic People's Republic of Korea,EAP,Low Income,19.1,2.5,2.3,0.0,0.0,0.0,,100.0,11.07315,,,,79.6,85.6
PRT,Portugal,WE,High Income,3.2,1.1,7.1,,,,99.47964,,2.92029,99.5,99.5,99.5,,
PRY,Paraguay,LAC,Upper Middle Income,5.6,1.0,12.4,4.0,22.0,,98.70381,95.1,29.57058,,94.1,,52.9,89.4
PSE,State of Palestine,MENA,Lower Middle Income,8.7,1.3,8.6,1.0,13.0,,99.31307,99.5,25.64829,99.5,97.15,,44.8,77.3
QAT,Qatar,MENA,High Income,6.2,1.6,10.0,0.0,2.0,2.0,97.26477,,16.15717,99.5,99.5,99.5,,
ROU,Romania,EECA,High Income,12.8,3.5,8.3,0.5,6.9,,98.97622,,22.03563,93.88,90.82,90.82,,
RWA,Rwanda,ESA,Low Income,33.1,1.1,5.6,0.0,6.0,6.0,86.26225,60.9,,54.05,69.6,,51.9,65.2
SAU,Saudi Arabia,MENA,High Income,10.8,3.9,11.6,0.4,3.4,,99.13699,,7.52954,99.5,99.5,99.5,,
SDN,Sudan,ESA,Low Income,38.2,16.3,3.0,12.0,34.0,,,72.58979487293689,,43.47,,7.56,42.7,48.3
SEN,Senegal,WCA,Lower Middle Income,17.5,10.2,1.1,9.0,30.0,29.0,63.50271,51.01004899261405,62.3304,72.79,77.97,21.91,43.8,54.1
SGP,Singapore,EAP,High Income,4.5,3.6,2.5,0.0,0.0,,99.94051,,,99.5,99.5,99.5,,
SLB,Solomon Islands,EAP,Lower Middle Income,31.7,8.5,4.5,6.0,21.0,17.0,,,,30.97,18.78,,54.8,79.0
SLE,Sierra Leone,WCA,Low Income,26.3,6.3,2.8,9.0,30.0,26.0,50.85709,65.1,62.712,39.39,48.65,22.08,75.3,75.8
SLV,El Salvador,LAC,Upper Middle Income,10.0,2.9,8.3,4.0,20.0,,98.14964,88.6,35.38044,81.72,84.46,,62.9,60.7
SOM,Somalia,ESA,Low Income,25.3,14.3,3.0,8.0,45.0,,,,,52.85,,,47.5,22.5
SRB,Serbia,EECA,Upper Middle Income,5.4,2.6,10.9,1.0,6.0,5.0,99.72468,99.8,9.87155,98.45,98.83,84.74,9.8,89.7
SSD,South Sudan,ESA,Low Income,31.3,22.7,6.0,9.0,52.0,,,17.6,74.81652,,36.65,18.11,20.2,74.8
