ISO,country,unicef_region,income_group,data_year,overweight_national,overweight_national_ll,overweight_national_ul,overweight_male,overweight_female,overweight_urban,overweight_rural,overweight_Q1_poorest,overweight_Q2,overweight_Q3,overweight_Q4,overweight_Q5_richest,overweight_gender_gap,overweight_wealth_gap,overweight_urban_rural_gap
MKD,North Macedonia,EECA,Upper Middle Income,2019.0,11.2,8.9,13.9,13.1,9.0,11.5,10.7,8.8,15.3,11.4,11.3,9.7,4.1,-0.8999999999999986,-0.8000000000000007
OMN,Oman,MENA,High Income,2017.0,4.2,3.4,5.1,4.1,4.2,,,1.6,1.7,4.7,5.6,5.5,-0.10000000000000053,-3.9,
PAK,Pakistan,SA,Lower Middle Income,2018.0,2.5,1.9,3.2,2.3,2.6,3.0,2.2,1.8,1.9,1.2,2.4,5.3,-0.30000000000000027,-3.5,-0.7999999999999998
PAN,Panama,LAC,High Income,2019.0,11.5,9.6,13.7,11.8,11.1,13.0,9.5,,,,,,0.7000000000000011,,-3.5
PNG,Papua New Guinea,EAP,Lower Middle Income,2010.0,13.7,11.5,16.3,14.3,13.1,11.8,14.0,,,,,,1.200000000000001,,2.1999999999999993
PRY,Paraguay,LAC,Upper Middle Income,2016.0,12.4,11.0,14.1,13.0,11.9,13.5,10.8,8.8,12.4,11.1,15.8,16.8,1.0999999999999996,-8.0,-2.6999999999999993
PER,Peru,LAC,Upper Middle Income,2023.0,7.5,7.0,8.0,8.1,6.9,8.6,4.6,4.1,6.8,8.6,9.5,11.8,1.1999999999999993,-7.700000000000001,-4.0
PHL,Philippines,EAP,Lower Middle Income,2021.0,3.9,3.3,4.7,4.1,3.7,,,,,,,,0.39999999999999947,,
POL,Poland,WE,High Income,2019.0,7.7,6.5,9.0,8.2,7.1,,,,,,,,1.0999999999999996,,
PRT,Portugal,WE,High Income,2016.0,7.1,4.6,10.8,4.7,9.8,,,,,,,,-5.1000000000000005,,
QAT,Qatar,MENA,High Income,2023.0,10.0,9.8,10.3,10.5,9.5,,,,,,,,1.0,,
KOR,Republic of Korea,EAP,High Income,2020.0,6.2,4.4,8.6,6.6,5.7,6.0,7.3,,9.0,7.1,4.5,3.0,0.8999999999999995,,1.2999999999999998
MDA,Republic of Moldova,EECA,Upper Middle Income,2012.0,4.9,3.8,6.2,6.0,3.7,5.0,4.8,2.9,2.7,7.5,4.4,6.6,2.3,-3.6999999999999997,-0.20000000000000018
ROU,Romania,EECA,High Income,2002.0,8.3,7.9,8.8,8.6,8.1,9.9,7.0,,,,,,0.5,,-2.9000000000000004
RUS,Russian Federation,EECA,High Income,2005.0,16.9,13.0,21.6,18.2,15.4,13.1,25.4,,,,,,2.799999999999999,,12.299999999999999
RWA,Rwanda,ESA,Low Income,2020.0,5.6,4.9,6.5,5.8,5.4,6.7,5.4,5.5,3.6,5.5,6.3,7.4,0.39999999999999947,-1.9000000000000004,-1.2999999999999998
LCA,Saint Lucia,LAC,Upper Middle Income,2012.0,6.3,3.4,11.3,8.9,3.8,4.9,6.6,5.1,8.4,4.5,4.5,8.9,5.1000000000000005,-3.8000000000000007,1.6999999999999993
WSM,Samoa,EAP,Lower Middle Income,2019.0,8.7,7.6,10.0,9.0,8.5,12.2,8.1,5.7,9.0,9.0,8.3,13.6,0.5,-7.8999999999999995,-4.1
STP,Sao Tome and Principe,WCA,Lower Middle Income,2019.0,4.5,3.5,5.8,5.6,3.4,4.6,4.2,4.6,2.4,5.2,5.5,4.7,2.1999999999999997,-0.10000000000000053,-0.39999999999999947
SAU,Saudi Arabia,MENA,High Income,2020.0,11.6,10.4,12.9,11.8,11.5,,,,,,,,0.3000000000000007,,
SEN,Senegal,WCA,Lower Middle Income,2023.0,1.1,0.6,2.3,0.9,1.4,2.0,0.6,0.8,0.6,1.0,1.0,2.7,-0.4999999999999999,-1.9000000000000001,-1.4
SRB,Serbia,EECA,Upper Middle Income,2019.0,10.9,8.7,13.7,12.7,8.9,12.6,9.1,8.9,7.3,10.8,13.0,13.8,3.799999999999999,-4.9,-3.5
SYC,Seychelles,ESA,High Income,2012.0,10.2,8.3,12.3,10.4,10.0,,,,,,,,0.40000000000000036,,
SLE,Sierra Leone,WCA,Low Income,2021.0,2.8,2.4,3.3,2.8,2.8,2.6,2.9,,,,,,0.0,,0.2999999999999998
SGP,Singapore,EAP,High Income,2000.0,2.5,2.3,2.8,3.0,1.9,,,,,,,,1.1,,
SLB,Solomon Islands,EAP,Lower Middle Income,2015.0,4.5,3.7,5.4,4.6,4.4,5.2,4.4,3.4,3.6,4.4,5.5,6.6,0.1999999999999993,-3.1999999999999997,-0.7999999999999998
SOM,Somalia,ESA,Low Income,2009.0,3.0,1.9,4.6,2.8,3.1,1.4,2.9,,,,,,-0.30000000000000027,,1.5
ZAF,South Africa,ESA,Upper Middle Income,2017.0,11.8,10.1,13.7,12.0,11.6,11.4,12.3,,,,,,0.40000000000000036,,0.9000000000000004
SSD,South Sudan,ESA,Low Income,2010.0,6.0,5.2,6.9,6.1,5.9,4.4,6.5,4.7,6.3,6.9,7.1,5.1,0.1999999999999993,-0.39999999999999947,2.0999999999999996
LKA,Sri Lanka,SA,Lower Middle Income,2024.0,0.5,,,,,,,,,,,,,,
PSE,State of Palestine,MENA,Lower Middle Income,2020.0,8.6,7.8,9.5,10.2,6.9,8.5,10.4,5.7,6.6,9.1,10.7,12.4,3.299999999999999,-6.7,1.9000000000000004
SDN,Sudan,ESA,Low Income,2014.0,3.0,2.3,3.8,3.2,2.8,2.5,3.2,1.4,2.0,3.4,3.8,4.8,0.40000000000000036,-3.4,0.7000000000000002
SUR,Suriname,LAC,Upper Middle Income,2018.0,3.5,2.8,4.4,3.3,3.8,3.0,5.3,3.1,4.2,3.5,3.2,4.2,-0.5,-1.1,2.3
SYR,Syrian Arab Republic,MENA,Low Income,2010.0,17.9,16.7,19.2,17.8,18.1,19.8,16.0,17.6,18.7,18.6,17.6,16.5,-0.3000000000000007,1.1000000000000014,-3.8000000000000007
TJK,Tajikistan,EECA,Lower Middle Income,2023.0,4.6,,,3.9,5.2,,,,,,,,-1.3000000000000003,,
THA,Thailand,EAP,Upper Middle Income,2022.0,10.9,9.6,12.4,10.5,11.3,11.0,10.8,10.8,9.2,10.0,12.7,12.3,-0.8000000000000007,-1.5,-0.1999999999999993
TLS,Timor-Leste,EAP,Lower Middle Income,2020.0,1.3,1.0,1.7,1.2,1.3,1.7,1.1,0.9,1.3,0.8,1.9,2.2,-0.10000000000000009,-1.3000000000000003,-0.5999999999999999
TGO,Togo,WCA,Low Income,2017.0,1.5,1.1,2.0,1.4,1.6,1.2,1.7,1.0,1.7,2.6,0.8,1.5,-0.20000000000000018,-0.5,0.5
TON,Tonga,EAP,Upper Middle Income,2019.0,11.2,8.9,13.9,12.2,9.9,15.6,10.0,10.0,11.1,11.3,14.7,8.2,2.299999999999999,1.8000000000000007,-5.6
