ISO,country,unicef_region,income_group,data_year,wasting_national,wasting_national_ll,wasting_national_ul,wasting_male,wasting_female,wasting_urban,wasting_rural,wasting_Q1_poorest,wasting_Q2,wasting_Q3,wasting_Q4,wasting_Q5_richest,wasting_gender_gap,wasting_wealth_gap,wasting_urban_rural_gap
NIC,Nicaragua,LAC,Lower Middle Income,2012.0,2.2,1.6,2.9,2.2,2.1,2.3,2.0,,,,,,0.10000000000000009,,-0.2999999999999998
NER,Niger,WCA,Low Income,2022.0,10.9,9.8,12.0,12.1,9.7,,,,,,,,2.4000000000000004,,
NGA,Nigeria,WCA,Lower Middle Income,2021.0,11.6,,,,,,,,,,,,,,
MKD,North Macedonia,EECA,Upper Middle Income,2019.0,3.4,2.1,5.3,3.5,3.3,3.5,3.2,2.3,7.2,3.4,0.7,3.2,0.20000000000000018,-0.9000000000000004,-0.2999999999999998
OMN,Oman,MENA,High Income,2017.0,9.3,7.9,11.0,8.7,10.0,,,14.7,8.7,6.4,9.5,10.0,-1.3000000000000007,4.699999999999999,
PAK,Pakistan,SA,Lower Middle Income,2018.0,7.1,6.0,8.4,7.6,6.6,6.7,7.3,9.4,9.1,5.3,7.2,3.7,1.0,5.7,0.5999999999999996
PAN,Panama,LAC,High Income,2019.0,1.1,0.6,1.7,1.2,0.9,1.2,1.2,,,,,,0.29999999999999993,,0.0
PNG,Papua New Guinea,EAP,Lower Middle Income,2010.0,14.1,12.3,16.0,14.4,13.7,14.0,14.1,,,,,,0.7000000000000011,,0.09999999999999964
PRY,Paraguay,LAC,Upper Middle Income,2016.0,1.0,0.7,1.4,1.0,0.9,1.0,0.9,0.7,1.0,1.4,1.0,0.6,0.09999999999999998,0.09999999999999998,-0.09999999999999998
PER,Peru,LAC,Upper Middle Income,2023.0,0.6,0.5,0.7,0.7,0.5,0.6,0.6,0.6,0.6,0.8,0.2,0.4,0.19999999999999996,0.19999999999999996,0.0
PHL,Philippines,EAP,Lower Middle Income,2021.0,5.4,4.7,6.2,5.3,5.5,,,,,,,,-0.20000000000000018,,
POL,Poland,WE,High Income,2019.0,0.8,0.5,1.3,1.0,0.5,,,,,,,,0.5,,
PRT,Portugal,WE,High Income,2016.0,1.1,,,,,,,,,,,,,,
QAT,Qatar,MENA,High Income,2023.0,1.6,,,,,,,,,,,,,,
KOR,Republic of Korea,EAP,High Income,2020.0,0.2,,,,,,,,,,,,,,
MDA,Republic of Moldova,EECA,Upper Middle Income,2012.0,1.9,1.2,3.0,2.1,1.8,1.8,2.0,1.7,1.7,1.2,3.4,1.8,0.30000000000000004,-0.10000000000000009,0.19999999999999996
ROU,Romania,EECA,High Income,2002.0,3.5,3.2,3.8,3.6,3.4,2.8,4.1,,,,,,0.20000000000000018,,1.2999999999999998
RUS,Russian Federation,EECA,High Income,2005.0,3.3,1.8,6.1,2.7,4.0,2.7,4.7,,,,,,-1.2999999999999998,,2.0
RWA,Rwanda,ESA,Low Income,2020.0,1.1,0.8,1.5,0.9,1.4,1.6,1.0,1.4,1.1,1.2,0.8,1.1,-0.4999999999999999,0.2999999999999998,-0.6000000000000001
LCA,Saint Lucia,LAC,Upper Middle Income,2012.0,3.7,2.0,6.9,4.1,3.4,1.9,4.1,5.1,6.0,3.1,0.0,3.0,0.6999999999999997,2.0999999999999996,2.1999999999999997
WSM,Samoa,EAP,Lower Middle Income,2019.0,3.1,2.4,3.9,2.9,3.2,3.9,2.9,3.2,2.3,2.4,3.3,4.5,-0.30000000000000027,-1.2999999999999998,-1.0
STP,Sao Tome and Principe,WCA,Lower Middle Income,2019.0,4.1,3.1,5.4,5.9,2.3,4.4,3.5,5.7,4.0,4.7,3.0,2.4,3.6000000000000005,3.3000000000000003,-0.9000000000000004
SAU,Saudi Arabia,MENA,High Income,2020.0,3.9,,,,,,,,,,,,,,
SEN,Senegal,WCA,Lower Middle Income,2023.0,10.2,9.0,11.5,11.4,8.8,6.9,12.2,13.1,11.0,10.5,7.5,6.9,2.5999999999999996,6.199999999999999,5.299999999999999
SRB,Serbia,EECA,Upper Middle Income,2019.0,2.6,1.6,4.2,3.2,1.9,4.3,0.8,2.6,1.4,2.4,4.5,1.6,1.3000000000000003,1.0,-3.5
SYC,Seychelles,ESA,High Income,2012.0,4.3,3.2,5.8,4.2,4.4,,,,,,,,-0.20000000000000018,,
SLE,Sierra Leone,WCA,Low Income,2021.0,6.3,5.6,7.2,7.0,5.7,7.0,6.0,,,,,,1.2999999999999998,,-1.0
SGP,Singapore,EAP,High Income,2000.0,3.6,3.3,3.9,3.9,3.3,,,,,,,,0.6000000000000001,,
