ISO,country,unicef_region,income_group,data_year,stunting_national,stunting_national_ll,stunting_national_ul,stunting_male,stunting_female,stunting_urban,stunting_rural,stunting_Q1_poorest,stunting_Q2,stunting_Q3,stunting_Q4,stunting_Q5_richest,stunting_gender_gap,stunting_wealth_gap,stunting_urban_rural_gap
ERI,Eritrea,ESA,Low Income,2010.0,52.5,50.9,54.1,53.5,51.6,40.4,57.8,58.9,59.0,60.8,49.3,29.1,1.8999999999999986,29.799999999999997,17.4
EST,Estonia,WE,High Income,2014.0,1.2,0.7,2.2,0.7,1.8,1.5,0.6,0.0,2.0,1.1,1.9,0.3,-1.1,-0.3,-0.9
SWZ,Eswatini,ESA,Lower Middle Income,2021.0,20.0,18.3,21.9,22.7,17.3,16.9,20.8,26.7,24.5,17.7,14.2,13.6,5.399999999999999,13.1,3.900000000000002
ETH,Ethiopia,ESA,Low Income,2019.0,36.8,34.3,39.4,39.8,33.6,26.2,40.4,43.3,38.6,42.2,35.2,22.6,6.199999999999996,20.699999999999996,14.2
FJI,Fiji,EAP,Upper Middle Income,2021.0,7.2,5.7,9.0,8.0,6.3,6.6,8.0,8.7,9.0,6.5,5.1,5.0,1.7000000000000002,3.6999999999999993,1.4000000000000004
FIN,Finland,WE,High Income,2023.0,2.8,,,,,,,,,,,,,,
GAB,Gabon,WCA,Upper Middle Income,2020.0,14.4,12.9,15.9,15.7,12.9,12.9,27.0,25.9,16.7,12.8,8.8,4.6,2.799999999999999,21.299999999999997,14.1
GMB,Gambia,WCA,Low Income,2020.0,17.5,15.8,19.2,18.5,16.4,16.3,19.7,22.5,19.5,15.7,13.4,15.3,2.1000000000000014,7.199999999999999,3.3999999999999986
GEO,Georgia,EECA,Upper Middle Income,2018.0,5.8,4.4,7.5,5.1,6.4,5.3,6.4,7.9,5.7,7.8,4.8,2.9,-1.3000000000000007,5.0,1.1000000000000005
DEU,Germany,WE,High Income,2016.0,1.3,0.5,3.1,0.4,2.2,0.4,2.4,0.0,3.1,1.1,0.7,1.1,-1.8000000000000003,-1.1,2.0
GHA,Ghana,WCA,Lower Middle Income,2022.0,17.4,15.9,19.0,19.4,15.3,15.1,19.6,22.8,22.0,16.9,15.5,7.5,4.099999999999998,15.3,4.500000000000002
GRC,Greece,WE,High Income,2003.0,1.5,1.0,2.0,1.0,1.9,,,,,,,,-0.8999999999999999,,
GTM,Guatemala,LAC,Upper Middle Income,2021.0,46.0,,,47.1,44.9,34.9,49.5,,,,,,2.200000000000003,,14.600000000000001
GIN,Guinea,WCA,Lower Middle Income,2022.0,26.1,24.5,27.8,29.1,23.2,,,,,,,,5.900000000000002,,
GNB,Guinea-Bissau,WCA,Low Income,2019.0,28.1,25.8,30.6,31.4,24.8,,,,,,,,6.599999999999998,,
GUY,Guyana,LAC,High Income,2019.0,9.5,7.9,11.5,11.4,7.6,10.0,9.4,13.8,9.6,4.4,6.6,10.9,3.8000000000000007,2.9000000000000004,-0.5999999999999996
HTI,Haiti,LAC,Lower Middle Income,2023.0,22.0,20.8,23.2,24.6,19.4,,,,,,,,5.200000000000003,,
HND,Honduras,LAC,Lower Middle Income,2019.0,18.7,17.6,19.9,19.2,18.2,12.0,23.2,32.6,20.5,15.6,10.2,6.2,1.0,26.400000000000002,11.2
IND,India,SA,Lower Middle Income,2020.0,35.5,35.1,35.8,36.2,34.6,30.1,37.3,46.1,39.7,34.4,28.1,22.9,1.6000000000000014,23.200000000000003,7.199999999999996
IDN,Indonesia,EAP,Upper Middle Income,2023.0,22.0,21.7,22.3,23.4,20.5,,,,,,,,2.8999999999999986,,
IRN,Iran (Islamic Republic of),MENA,Upper Middle Income,2017.0,4.8,,,4.9,4.8,3.1,7.6,8.2,5.7,4.2,3.2,3.0,0.10000000000000053,5.199999999999999,4.5
IRQ,Iraq,MENA,Upper Middle Income,2018.0,12.6,11.4,14.0,12.3,13.0,12.7,12.6,16.9,13.0,11.5,11.7,9.0,-0.6999999999999993,7.899999999999999,-0.09999999999999964
IRL,Ireland,WE,High Income,2011.0,2.2,1.2,4.0,2.8,1.6,,,,,,,,1.1999999999999997,,
