ISO,country,year,sdg_region,unicef_reporting_region,wat_bas_nat,wat_lim_nat,wat_none_nat,san_bas_nat,san_lim_nat,san_none_nat,hyg_bas_nat,hyg_lim_nat,hyg_none_nat
LBY,Libya,2023,Northern Africa and Western Asia,Middle East and North Africa,,,,,,0.5,,,
LTU,Lithuania,2023,Europe and Northern America,Europe and Central Asia,99.5,0.5,0.5,99.5,0.5,0.5,99.5,0.5,0.5
LUX,Luxembourg,2023,Europe and Northern America,Europe and Central Asia,99.5,0.5,0.5,99.5,0.5,0.5,99.5,0.5,0.5
MDG,Madagascar,2023,Sub-Saharan Africa,Sub-Saharan Africa,,,44.21716578250471,39.17178630389026,31.2414285134891,29.58678518262064,,,50.2320240177968
MWI,Malawi,2023,Sub-Saharan Africa,Sub-Saharan Africa,92.46903647786712,1.110402517720559,6.42056100441232,74.33352319552023,,,44.20790421453557,,
MYS,Malaysia,2023,Eastern and South-Eastern Asia,East Asia and Pacific,95.35303292731442,4.646967072685584,0.5,99.5,0.5,0.5,99.5,0.5,0.5
MDV,Maldives,2023,Central and Southern Asia,South Asia,99.5,0.5,0.5,,,,,,
MLI,Mali,2023,Sub-Saharan Africa,Sub-Saharan Africa,,,6.315000000000509,29.77569430745916,,,,,
MLT,Malta,2023,Europe and Northern America,Europe and Central Asia,99.5,0.5,0.5,99.5,0.5,0.5,99.5,0.5,0.5
MHL,Marshall Islands,2023,Oceania,East Asia and Pacific,66.82506678386122,,,78.35544824193204,,,70.15192264706168,,
MRT,Mauritania,2023,Sub-Saharan Africa,Sub-Saharan Africa,,,,30.68916532950484,,,,,
MUS,Mauritius,2023,Sub-Saharan Africa,Sub-Saharan Africa,99.5,0.5,0.5,99.5,0.5,0.5,99.5,,
MEX,Mexico,2023,Latin America and the Caribbean,Latin America and Caribbean,71.09034099622431,17.42670678012622,11.48295222364946,69.57761630792493,,,79.16091723351246,,
FSM,Micronesia (Federated States of),2023,Oceania,East Asia and Pacific,85.55436384993283,0.5,14.28570999999999,79.4409268301887,14.43662316981128,6.122450000000015,81.63265,0.5,18.36735
MCO,Monaco,2023,Europe and Northern America,Europe and Central Asia,99.5,0.5,0.5,99.5,0.5,0.5,99.5,0.5,0.5
MNG,Mongolia,2023,Eastern and South-Eastern Asia,East Asia and Pacific,,,,,,,,,
MNE,Montenegro,2023,Europe and Northern America,Europe and Central Asia,81.95,9.349999999999994,8.700000000000003,11.3939,87.85609999999998,0.5,,,
MSR,Montserrat,2023,Latin America and the Caribbean,Latin America and Caribbean,99.5,0.5,0.5,99.5,0.5,0.5,99.5,0.5,0.5
MAR,Morocco,2023,Northern Africa and Western Asia,Middle East and North Africa,89.50500858280975,,,96.08199075390053,0.5,3.918009246099473,87.07182137617997,,
MOZ,Mozambique,2023,Sub-Saharan Africa,Sub-Saharan Africa,,,60.03298499999983,,,46.81270642857089,,,
MMR,Myanmar,2023,Eastern and South-Eastern Asia,East Asia and Pacific,77.04897207839753,,,73.5171904543418,,,58.6625057145354,,
